frame,phase,occluded,blurred,gt_x,gt_y,gt_w,gt_h,py_x,py_y,py_w,py_h,py_err,py_iou,py_ms,py_ram_mb,py_status,cpp_x,cpp_y,cpp_w,cpp_h,cpp_err,cpp_iou,cpp_ms,cpp_ram_mb,cpp_status
149,Agile ZigZag,True,False,279,124,60,60,200,202,59,36,103.33,0.0,59.22,309.9,TRACKED,199,203,58,37,105.44,0.0,54.18,357.8,TRACKED
150,Agile ZigZag,True,True,282,121,60,60,203,205,61,36,106.52,0.0,64.69,309.9,TRACKED,199,202,58,36,108.71,0.0,54.48,357.8,TRACKED
151,Agile ZigZag,True,False,289,115,60,60,203,203,60,36,114.77,0.0,69.62,309.9,TRACKED,203,204,61,36,115.06,0.0,53.6,357.8,TRACKED
152,Agile ZigZag,True,False,283,105,60,60,197,197,60,36,117.46,0.0,71.23,309.9,TRACKED,203,202,60,36,116.73,0.0,56.53,357.8,TRACKED
153,Agile ZigZag,True,False,286,108,60,60,198,207,59,35,123.75,0.0,69.33,309.9,TRACKED,197,197,60,36,117.69,0.0,56.62,357.8,TRACKED
154,Agile ZigZag,True,False,286,95,60,60,199,196,59,35,124.45,0.0,69.13,309.9,TRACKED,198,206,59,36,132.79,0.0,56.1,357.8,TRACKED
155,Agile ZigZag,True,True,285,98,60,60,198,205,61,36,128.48,0.0,67.96,309.9,TRACKED,198,197,59,36,123.39,0.0,57.0,357.8,TRACKED
156,Agile ZigZag,True,False,290,101,60,60,198,211,61,36,134.08,0.0,73.73,309.9,TRACKED,197,205,61,35,130.11,0.0,55.78,357.8,TRACKED
157,Agile ZigZag,True,False,290,93,60,60,197,208,60,36,138.77,0.0,69.09,309.9,TRACKED,198,211,61,36,140.03,0.0,57.54,357.8,TRACKED
158,Agile ZigZag,True,False,289,89,60,60,191,207,60,36,144.36,0.0,68.71,309.9,TRACKED,198,209,61,35,140.52,0.0,57.63,357.8,TRACKED
159,Agile ZigZag,True,False,287,73,60,60,193,197,59,35,146.16,0.0,70.08,309.9,TRACKED,191,209,60,35,156.42,0.0,55.0,357.8,TRACKED
160,Agile ZigZag,True,True,292,66,60,60,197,194,61,36,149.62,0.0,69.87,309.9,TRACKED,191,197,60,35,155.7,0.0,56.35,357.8,TRACKED
161,Agile ZigZag,True,False,293,66,60,60,191,195,61,36,154.89,0.0,67.91,309.9,TRACKED,196,194,62,36,150.57,0.0,56.58,357.8,TRACKED
162,Agile ZigZag,True,False,296,65,60,60,191,199,60,36,160.96,0.0,67.93,309.9,TRACKED,190,197,61,36,159.78,0.0,56.76,357.8,TRACKED
